id,name,type,signature,osm_tag,blurb
something_apology,Something For An Apology,Occupations,Dread,shop=florist,Can tell what you did from which bouquet you reach for.
table_near_door,The Table Of Books You Won't Read,Occupations,Dread,shop=books,"Face out, by the door, full of hope. It believes in you regardless."
reading_week,The Reading Week That Wasn't,Occupations,Dread,amenity=university,Everyone said they would start on the Monday.
january_membership,The January Membership,Occupations,Dread,leisure=fitness_centre,Signed up with genuine conviction. Attended twice.
draughty_hall,The Draughty Great Hall,Cultural,Anchor,historic=castle,Was never comfortable. Was never intended to be.
public_subscription,Erected By Public Subscription,Cultural,Anchor,historic=monument,The plaque lists every donor. It does not list the reason.
names_alphabetical,The Names In Alphabetical Order,Cultural,Anchor,historic=memorial,"Reads them all through each night, reaches the end, and begins again."
half_a_wall,Half A Wall,Cultural,Anchor,historic=ruins,Was something once. Declines to say what.
understudy_waiting,"The Understudy, Waiting",Cultural,Anchor,amenity=theatre,Knows every line of it. Has never once been needed.
trailers_started,The Trailers Have Started,Cultural,Anchor,amenity=cinema,You are late. It began without you. It does not mind.
churchyard_yew,The Churchyard Yew,Graveyard,Power,amenity=grave_yard,Older than the church. Has opinions about the church.
very_careful_man,The Very Careful Man,Graveyard,Power,amenity=crematorium,Learned to say every name properly. All of them. Every one.
name_worn_smooth,The Name Worn Smooth,Graveyard,Power,historic=grave,Cannot remember it either. You two have that much in common.
family_still_arguing,"The Family, Still Arguing",Graveyard,Power,historic=mausoleum,Six of them. One room. Ninety years. No resolution.
good_sandwiches,The Good Sandwiches,Graveyard,Power,amenity=funeral_hall,Nobody expected the sandwiches to be this good. It is quietly proud.
plot_bought_early,The Plot Bought Early,Graveyard,Power,cemetery=grave,Paid for in 1974 by someone being sensible. Still waiting.
